"","Date_UTC","ClickTime_UTC","clickDepth_m","fit_line","lwr_CI_99","upr_CI_99"
"183","2016-07-03","2016-07-03_19:05:11.066",1005.53572441278,1036.83268182283,1028.57517298943,1045.09019065622
"184","2016-07-03","2016-07-03_19:05:11.637",1007.83437602705,1037.44529961127,1029.18778601781,1045.70281320473
"185","2016-07-03","2016-07-03_19:05:12.204",1033.62417098219,1038.0560994128,1029.79872496942,1046.31347385617
"186","2016-07-03","2016-07-03_19:05:13.546",1027.80043244289,1039.51164293142,1031.25523376541,1047.76805209743
"187","2016-07-03","2016-07-03_19:05:15.950",1030.97394978144,1042.1463247635,1033.88990028828,1050.40274923872
"188","2016-07-03","2016-07-03_19:05:17.200",1020.30598204519,1043.52804129551,1035.26937728885,1051.78670530217
"189","2016-07-03","2016-07-03_19:05:17.829",1013.74131204113,1044.22638969175,1035.96595778675,1052.48682159675
"190","2016-07-03","2016-07-03_19:05:18.476",1076.11285131719,1044.94687584165,1036.68414837328,1053.20960331002
"191","2016-07-03","2016-07-03_19:05:19.158",1024.40899103099,1045.70870905046,1037.44301253363,1053.97440556729
"192","2016-07-03","2016-07-03_19:05:22.286",1021.65107164621,1049.23429621676,1040.94702617782,1057.52156625569
"193","2016-07-03","2016-07-03_19:05:24.009",994.497692018503,1051.19855482718,1042.89327461404,1059.50383504033
"194","2016-07-03","2016-07-03_19:05:25.595",1008.91077679357,1053.02075861581,1044.69477947079,1061.34673776084
"195","2016-07-03","2016-07-03_19:05:26.128",1041.29334623684,1053.63619896531,1045.30236253832,1061.9700353923
"196","2016-07-03","2016-07-03_19:05:26.667",1062.34439853274,1054.26014009767,1045.91789745919,1062.60238273615
"197","2016-07-03","2016-07-03_19:05:27.217",1052.62829502408,1054.89844931675,1046.54715468987,1063.24974394363
"198","2016-07-03","2016-07-03_19:05:29.595",1031.57501714157,1057.67738022285,1049.28160388754,1066.07315655815
"199","2016-07-03","2016-07-03_19:05:31.259",1027.11343348785,1059.64053541046,1051.20884194444,1068.07222887649
"200","2016-07-03","2016-07-03_19:05:31.832",1010.56087179989,1060.32012241336,1051.87524931274,1068.76499551398
"201","2016-07-03","2016-07-03_19:05:33.007",984.552143830525,1061.71944771613,1053.24640850584,1070.19248692643
"202","2016-07-03","2016-07-03_19:05:34.313",1109.88355725812,1063.28391001048,1054.77803797476,1071.7897820462
"203","2016-07-03","2016-07-03_19:05:34.943",1066.34066214965,1064.04204250325,1055.51987470425,1072.56421030226
"204","2016-07-03","2016-07-03_19:05:35.480",1067.98364468743,1064.69004126893,1056.15380094918,1073.22628158868
"205","2016-07-03","2016-07-03_19:05:36.019",1059.76884617847,1065.34210655419,1056.79160873115,1073.89260437724
"206","2016-07-03","2016-07-03_19:05:37.157",1034.54067899128,1066.72428186201,1058.1434094503,1075.30515427373
"207","2016-07-03","2016-07-03_19:05:37.763",1044.26131905819,1067.46334235926,1058.8662426113,1076.06044210723
"208","2016-07-03","2016-07-03_19:05:39.039",1049.93187962227,1069.02644322176,1060.39536856527,1077.65751787825
"209","2016-07-03","2016-07-03_19:05:39.852",1086.05720619117,1070.02728868689,1061.37491143737,1078.67966593641
"210","2016-07-03","2016-07-03_19:05:40.444",1078.37983870824,1070.75849138226,1062.09087571316,1079.42610705136
"211","2016-07-03","2016-07-03_19:05:41.017",1082.42827708446,1071.46817440114,1062.78609265951,1080.15025614278
"212","2016-07-03","2016-07-03_19:05:42.239",1062.99642370473,1072.98809474119,1064.27635150039,1081.699837982
"213","2016-07-03","2016-07-03_19:05:42.984",1043.56621451717,1073.91903295565,1065.19018757114,1082.64787834016
"214","2016-07-03","2016-07-03_19:05:48.144",1030.69013245128,1080.45747256226,1071.64153392293,1089.27341120159
"215","2016-07-03","2016-07-03_19:05:48.780",1060.09406401884,1081.27444405867,1072.45274958811,1090.09613852923
"216","2016-07-03","2016-07-03_19:05:49.392",1067.484182766,1082.06290276654,1073.23692783129,1090.88887770178
"217","2016-07-03","2016-07-03_19:05:50.006",1074.87453602578,1082.85622751348,1074.0272568053,1091.68519822166
"218","2016-07-03","2016-07-03_19:05:51.115",1088.01352086436,1084.30483920218,1075.47204067073,1093.13763773364
"219","2016-07-03","2016-07-03_19:05:52.378",1102.34941652687,1085.98725153364,1077.15091019587,1094.8235928714
"220","2016-07-03","2016-07-03_19:05:54.947",1080.98969710056,1089.51256388032,1080.67102156895,1098.35410619169
"221","2016-07-03","2016-07-03_19:05:56.335",1057.98914279118,1091.47244201087,1082.62879720562,1100.31608681611
"222","2016-07-03","2016-07-03_19:06:08.339",1114.08901268951,1109.82413248433,1100.94514655317,1118.70311841549
"223","2016-07-03","2016-07-03_19:06:09.234",1119.93616741101,1111.27934491529,1102.39410237875,1120.16458745183
"224","2016-07-03","2016-07-03_19:06:10.681",1119.10085051969,1113.65354615014,1104.75646450096,1122.55062779933
